92,'m_postdatedchequesummary','U. Post Dated Cheque [Summary]',3,'0','0'
19,'m_pricepolicyentry','Customer Wise Price Policy',2,'0','0'
8,'m_print','Print... Ctrl+P',2,'0','0'
12,'m_printersetup','Printer Setup ...',2,'0','0'
9,'m_printpreview','Print Preview',2,'0','0'
10,'m_printpreviewrulers','Print Preview Rulers',2,'0','0'
11,'m_printpreviewzoom','Print Preview Zoom...',2,'0','0'
177,'m_production','Production',2,'0','0'
83,'m_profitlossaccountmonthwise','M. Profit & Loss Account [Month Wise]',3,'0','0'
144,'m_purchase','Purchase',2,'0','0'
40,'m_purchaseinvoice','Purchase Invoice',2,'0','0'
146,'m_purchaseinvoicedetail1','B. Purchase Invoice [Detail]',3,'0','0'
56,'m_purchaseinvoiceunpost','Purchase Invoice',3,'0','0'
97,'m_purchasejournal','B. Purchase Journal',3,'0','0'
51,'m_purchasereturn','Purchase Return',2,'0','0'
147,'m_purchasereturndetail','C. Purchase Return [Detail]',3,'0','0'
100,'m_purchasereturnjournal','D. Purchase Return Journal',3,'0','0'
150,'m_purchasereturnsummary','E. Purchase Return [Summary]',3,'0','0'
63,'m_purchasereturnunpost','Purchase Return',3,'0','0'
149,'m_purchasesummary','D. Purchase Invoice [Summary]',3,'0','0'
163,'m_purchseitemsummary','P. Party Wise Purchse Item [Summary]',3,'0','0'
84,'m_r_balance_sheet','N. Balance Sheet',3,'0','0'
82,'m_r_profit_and_loss','L. Profit & Loss Account',3,'0','0'
65,'m_reports','Reports',1,'0','0'
205,'m_reportviewer','Object Browser',2,'0','0'
3,'m_restoredatabase','Restore Database... Ctrl+R',2,'0','0'
42,'m_saleinvoice','Sales Invoice',2,'0','0'
107,'m_saleinvoicecustomerdetail','E. Sale Invoice Customer[Detail]',3,'0','0'
105,'m_saleinvoicedetail','C. Sale Invoice [Detail - Small]',3,'0','0'
58,'m_saleinvoiceunpost','Sale Invoice',3,'0','0'
57,'m_saleorder','Sale Order',3,'0','0'
103,'m_saleorderdetail','A. Sale Order [Detail]',3,'0','0'
41,'m_saleorderentry','Sale Order Entry',2,'0','0'
52,'m_salereturn','Sale Return',2,'0','0'
108,'m_salereturndetail','F. Sale Return [Detail]',3,'0','0'
112,'m_salereturnsummary','I. Sale Return [Summary]',3,'0','0'
64,'m_salereturnunpost','Sale Return',3,'0','0'
102,'m_sales','Sales',2,'0','0'
104,'m_salesinvoicedetail','B. Sales Invoice [Detail]',3,'0','0'
98,'m_salesjournal','C. Sales Journal',3,'0','0'
101,'m_salesreturnjournal','E. Sales Return Journal',3,'0','0'
127,'m_salessummary','Sales Summary',2,'0','0'
32,'m_shiftinformation','Shift Information',2,'0','0'
46,'m_stockadjustment','Stock Adjustment',2,'0','0'
174,'m_stockregister','G. Stock Register',3,'0','0'
61,'m_stocktransfer','Stock Transfer',3,'0','0'
47,'m_stocktransferentry','Stock Transfer Entry',2,'0','0'
35,'m_tasks','Tasks',1,'0','0'
71,'m_trailbalance','C. Trial Balance',3,'0','0'
72,'m_trialbalancesummary','D. Trial Balance [Summary]',3,'0','0'
55,'m_unpost','Post/Unpost Entries',2,'0','0'
6,'m_userroles','User Roles...',2,'0','0'
7,'m_users','User Accounts...',2,'0','0'
203,'m_users1','J. Users',3,'0','0'
154,'m_vendorwisepurchasereturn','H. Vendor Wise Purchase Return',3,'0','0'
155,'m_vendorwisepurchasesummary','I.Vendor Wise Purchase [Summary]',3,'0','0'
153,'m_vendorwiserecovery','G. Vendor Wise Payment',3,'0','0'
79,'m_voucheractivity','J. Voucher Activity',3,'0','0'
