72,'PACKAGES STOCK OUT ',2021-02-22 00:00,'1','USMAN',2021-02-25 10:53:40.259000,'01'
73,'PACKAGES STOCK OUT',2021-02-23 00:00,'1','USMAN',2021-02-25 11:41:15.985000,'01'
74,'PACKAGES STOCK OUT',2021-02-24 00:00,'1','Waqas',2021-02-27 09:58:40.782000,'01'
75,'PACKAGES STOCK OUT',2021-02-25 00:00,'1','USMAN',2021-02-28 09:52:48.590000,'01'
76,'PACKAGES STOCK OUT',2021-02-28 00:00,'1','USMAN',2021-03-01 17:13:35.160000,'01'
77,'PACKAGES STOCK OUT',2021-02-27 00:00,'1','USMAN',2021-03-02 09:34:50.376000,'01'
78,'PACKAGES STOCK OUT ',2021-03-01 00:00,'1','USMAN',2021-03-02 17:54:24.400000,'01'
79,'PACKAGES STOCK OUT',2021-03-02 00:00,'1','USMAN',2021-03-04 10:00:44.918000,'01'
80,'PACKAGES STOCK OUT',2021-03-03 00:00,'1','USMAN',2021-03-04 12:08:15.078000,'01'
81,'PACKAGES STOCK OUT ',2021-03-03 00:00,'1','USMAN',2021-03-06 11:35:41.535000,'01'
82,'PACKAGES STOCK OUT',2021-03-06 00:00,'0','USMAN',2021-03-08 09:31:44.127000,'01'
83,'PACAGES STOCK OUT \x0d\x0a',2021-03-07 00:00,'1','USMAN',2021-03-09 16:51:28.401000,'01'
84,'PACKAGES STOCK OUT',2021-03-11 00:00,'1','USMAN',2021-03-11 15:19:11.091000,'01'
85,'PACKAGES STOCK OUT',2021-03-10 00:00,'1','USMAN',2021-03-13 10:27:48.699000,'01'
86,'PACKAGES STOCK OUT ',2021-03-11 00:00,'1','USMAN',2021-03-13 14:40:20.241000,'01'
87,'PACKAGES STOCK OUT',2021-03-09 00:00,'1','USMAN',2021-03-14 09:31:41.003000,'01'
88,'PACKAGES STOCK OUT',2021-03-13 00:00,'1','USMAN',2021-03-15 17:15:59.706000,'01'
89,'PACKAGES CONSUMPTION',2021-03-25 00:00,'1','Waqas',2021-03-29 16:28:34.348000,'01'
90,'PACKAGES RM',2021-03-24 00:00,'1','Waqas',2021-03-29 16:55:42.009000,'01'
91,'PACKAGES RM ADJ',2021-03-23 00:00,'0','Waqas',2021-03-29 17:11:08.650000,'01'
92,'PACKAGES RM ADJ',2021-03-22 00:00,'0','Waqas',2021-03-29 17:22:27.387000,'01'
93,'PACKAGES DAILY CONSUMPTION',2021-03-14 00:00,'0','HAMMAD',2021-03-30 12:46:35.279000,'01'
94,'PACKAGES CONSUMPTION',2021-03-15 00:00,'1','HAMMAD',2021-03-30 13:04:58.138000,'01'
95,'PACKAGES CONSUMPTION',2021-03-16 00:00,'0','HAMMAD',2021-03-30 13:25:56.463000,'01'
96,'PACKAGES RM CONSUMPTION',2021-03-17 00:00,'1','HAMMAD',2021-03-30 14:15:08.035000,'01'
97,'CONVERT 72PCS TO 36PCS',2021-02-23 00:00,'1','HAMMAD',2021-04-07 13:04:53.935000,'03'
98,'STOCK ADJUST 5/4KG WITH 5KG\x0d\x0aRAHIL BRAND',2021-04-13 00:00,'1','HAMMAD',2021-04-13 15:32:07.149000,'03'
99,'SAFA 20KG CONVERT TO ARGHAWAN 10KG & 20KG ',2021-02-09 00:00,'1','HAMMAD',2021-04-13 15:43:22.615000,'03'
100,'STOCK ADJUSTED',2021-03-31 00:00,'1','Waqas',2021-04-14 15:13:03.723000,'03'
101,'STOCK ADJUSTED',2021-03-31 00:00,'1','Waqas',2021-04-14 15:13:46.654000,'04'
102,'JAGMAG 60/72, 55/72',2021-01-01 00:00,'0','Waqas',2021-06-27 17:24:26.342000,'03'
103,'STOCK ADJ TRAIN 20KG 7.AD WITH DETERGENT 7AD\x0d\x0aBAGS TO LOOSE CONVERSION',2021-06-29 00:00,'1','Waqas',2021-06-29 19:11:03.126000,'03'
104,'STOCK OPEN AND ADJUSTED',2021-06-30 00:00,'1','HAMMAD',2021-07-01 11:19:20.459000,'03'
105,'PACKAGES STOCK OUT ',2021-07-01 00:00,'1','HAMMAD',2021-08-07 16:48:05.656000,'01'
106,'PACKAGES STOCK OUT',2021-07-03 00:00,'1','Waqas',2021-08-11 13:07:11.386000,'01'
107,'PACKAGES STOCK OUT',2021-07-04 00:00,'1','Waqas',2021-08-11 15:37:11.737000,'01'
108,'PACKAGES STOCK OUT',2021-07-06 00:00,'1','Waqas',2021-08-11 17:08:01.304000,'01'
109,'PACKAGES STOCK OUT',2021-07-07 00:00,'1','Waqas',2021-08-11 17:39:07.209000,'01'
110,'PACKAGES STOCK OUT',2021-07-08 00:00,'1','Waqas',2021-08-12 09:26:01.567000,'01'
111,'PACKAGES STOCK OUT\x0d\x0a',2021-07-10 00:00,'1','Waqas',2021-08-12 10:07:30.328000,'01'
112,'PACKAGES STOCK OUT',2021-07-11 00:00,'1','Waqas',2021-08-12 10:23:35.408000,'01'
113,'PACKAGES STOCK OUT \x0d\x0a',2021-07-12 00:00,'1','Waqas',2021-08-12 12:22:11.671000,'01'
114,'PACKAGES STOCK OUT\x0d\x0a',2021-07-13 00:00,'1','Waqas',2021-08-12 15:14:22.660000,'01'
115,'PACKAGES STOCK OUT\x0d\x0a',2021-07-05 00:00,'1','Waqas',2021-08-12 15:34:30.866000,'01'
116,'PACKAGES STOCK OUT',2021-07-14 00:00,'1','Waqas',2021-08-12 16:14:47.616000,'01'
117,'PACKAGES STOCK OUT',2021-07-15 00:00,'1','Waqas',2021-08-12 16:41:59.332000,'01'
118,'PACKAGES STOCK OUT',2021-07-17 00:00,'1','Waqas',2021-08-14 10:04:50.311000,'01'
119,'PACKAGES STOCK OUT\x0d\x0a',2021-07-18 00:00,'1','Waqas',2021-08-14 10:15:33.406000,'01'
120,'PACKAGES STOCK OUT',2021-07-19 00:00,'1','Waqas',2021-08-14 10:43:15.028000,'01'
121,'PACKAGES STOCK OUT',2021-07-20 00:00,'1','Waqas',2021-08-14 10:52:06.380000,'01'
122,'PACKAGES STOCK OUT',2021-07-25 00:00,'1','Waqas',2021-08-14 11:04:53.621000,'01'
123,'PACKAGES STOCK OUT',2021-07-24 00:00,'1','Waqas',2021-08-14 11:12:52.853000,'01'
124,'PACKAGES STOCK OUT',2021-07-26 00:00,'1','Waqas',2021-08-14 11:40:36.628000,'01'
