549,14,'HLB001','HAPPY LAUNDRY BAR 225/48','CRTN',5,1896,9480,0,0,9480,,
550,1,'DT2020','TRAIN DETERGENT 1000/12 10AD','CRTN',30,1,30,0,0,30,,
550,2,'DT2014','TRAIN DETERGENT 500/24  10A.D','CRTN',30,1,30,0,0,30,,
550,3,'DW1002','TRAIN DISHWASH 110/36','CRTN',40,1,40,0,0,40,,
550,4,'DW1020','TRAIN DISHWASH 240/18','CRTN',20,1,20,0,0,20,,
550,5,'DW1015','TRAIN DISHWASH JUMBO 280/24','CRTN',20,1,20,0,0,20,,
550,6,'MO1004','MUSTARD OIL 845/6','CRTN',3,1,3,0,0,3,,
550,7,'MO1003','MUSTARD OIL 410/12','CRTN',3,1,3,0,0,3,,
550,8,'MO1001','MUSTARD OIL 200ML/24','CRTN',4,1,4,0,0,4,,
550,9,'MO1014','MUSTARD OIL 100/48','PCS',5,1,5,0,0,5,,
550,10,'DT2013','TRAIN DETERGENT 5 KG 7A.D','BAG',50,1,50,0,0,50,,
551,1,'SF0001','BASE POWDER PLANT 26A.D','KG',7000,245,1715000,0,0,1715000,,
552,1,'DT2025','TRAIN DETERGENT 5 KG 10A.D','BAG',50,759,37950,0,0,37950,,
552,2,'DT2014','TRAIN DETERGENT 500/24  10A.D','CRTN',50,2019,100950,0,0,100950,,
552,3,'DT2020','TRAIN DETERGENT 1000/12 10AD','CRTN',20,1968,39360,0,0,39360,,
552,4,'DW1002','TRAIN DISHWASH 110/36','CRTN',500,528,264000,0,0,264000,,
552,5,'DT2029','TRAIN DETERGENT 10KG PLANT 7AD + 2TIKKI','BAG',200,1189,237800,0,0,237800,,
553,1,'DT2029','TRAIN DETERGENT 10KG PLANT 7AD + 2TIKKI','BAG',50,1189,59450,0,0,59450,,
553,2,'DT2013','TRAIN DETERGENT 5 KG 7A.D','BAG',320,620,198400,0,0,198400,,
553,3,'DT2036','TRAIN DETERGENT 4KG 7A.D','BAG',320,513,164160,0,0,164160,,
553,4,'DT2062','TRAIN DETERGENT 400/24 10 AD','BAG',25,1896,47400,0,0,47400,,
553,5,'DT2022','TRAIN DETERGENT PLANT 200/24 10AD ','CRTN',25,984,24600,0,0,24600,,
553,6,'DW1002','TRAIN DISHWASH 110/36','CRTN',100,528,52800,0,0,52800,,
553,7,'DT9026','JAGMAG DETERGENT 1000/12 18A.D','CRTN',5,3024,15120,0,0,15120,,
553,8,'DT2020','TRAIN DETERGENT 1000/12 10AD','CRTN',5,1968,9840,0,0,9840,,
554,1,'PST017','CTN 5-PLY CHEETA MOTORCYCLE BUTYL TUBE 335*305*355','PCS',2020,1,2020,0,0,2020,,
555,1,'DT1058','LASHKARA DETERGENT 20/72','CRTN',1500,1,1500,0,0,1500,,
555,2,'DT1062','LASHKARA DETERGENT 150/24 ','CRTN',200,1,200,0,0,200,,
555,3,'DT2034','TRAIN DETERGENT 400/30 10A.D','BAG',50,1,50,0,0,50,,
555,4,'DT2033','TRAIN DETERGENT 800/15 10AD','BAG',50,1,50,0,0,50,,
555,5,'DT2036','TRAIN DETERGENT 4KG 7A.D','BAG',80,1,80,0,0,80,,
555,6,'DT9039','JAGMAG DETERGENT 100/48 18A.D','CRTN',100,1,100,0,0,100,,
555,7,'DT9035','JAGMAG DETERGENT 240/36 18.AD','CRTN',50,1,50,0,0,50,,
555,8,'DT9027','JAGMAG DETERGENT 500/24 18A.D','CRTN',30,1,30,0,0,30,,
555,9,'DT9026','JAGMAG DETERGENT 1000/12 18A.D','CRTN',30,1,30,0,0,30,,
555,10,'DT9008','JAGMAG DETERGENT 4KG 13A.D','BAG',240,1,240,0,0,240,,
555,11,'DT9007','JAGMAG DETERGENT 20KG','BAG',30,1,30,0,0,30,,
555,12,'DTH005','HAPPY DETERGENT 20/240','CRTN',30,1,30,0,0,30,,
555,13,'DTH004','HAPPY DETERGENT 100/60','CRTN',70,1,70,0,0,70,,
555,14,'DTH002','HAPPY DETERGENT 1000/12 ','CRTN',10,1,10,0,0,10,,
555,15,'DTH007','HAPPY DETERGENT 2KG/6','CRTN',10,11,110,0,0,110,,
555,16,'DW9001','HAPPY DISHWASH LIQUID 500ML/12 (LEMON)','CRTN',10,1,10,0,0,10,,
555,17,'HLB002','HAPPY LAUNDRY BAR 225/24','CRTN',200,1,200,0,0,200,,
555,18,'HSALT01','HAPPY SALT 1KG/12','CRTN',50,1,50,0,0,50,,
555,19,'DT2056','TRAIN DETERGENT 1000/12 12A.D','PCS',40,1,40,0,0,40,,
555,20,'DT2054','Train Detergent 20kg 12AD','BAG',150,1,150,0,0,150,,
555,21,'TB018','TAZGI DUCK BEAUTY WHITE SOAP 112/48','CRTN',40,1,40,0,0,40,,
556,1,'DT2029','TRAIN DETERGENT 10KG PLANT 7AD + 2TIKKI','BAG',80,1600,128000,5,6400,121600,,
556,2,'DT2013','TRAIN DETERGENT 5 KG 7A.D','BAG',400,850,340000,5,17000,323000,,
556,3,'DT2036','TRAIN DETERGENT 4KG 7A.D','BAG',400,690,276000,5,13800,262200,,
556,4,'DT2062','TRAIN DETERGENT 320/24 10 AD','BAG',30,1896,56880,5,2844,54036,,
556,5,'DT2022','TRAIN DETERGENT PLANT 160/24 10AD ','CRTN',50,984,49200,5,2460,46740,,
556,6,'DT9026','JAGMAG DETERGENT 1000/12 18A.D','CRTN',5,3800,19000,5,950,18050,,
556,7,'DT2020','TRAIN DETERGENT 1000/12 10AD','CRTN',5,2550,12750,5,637.5,12112.5,,
556,8,'DW1015','TRAIN DISHWASH JUMBO 200/24','CRTN',50,820,41000,5,2050,38950,,
556,9,'DW1002','TRAIN DISHWASH 80/36','CRTN',100,528,52800,5,2640,50160,,
557,1,'DW1015','TRAIN DISHWASH JUMBO 200/24','CRTN',150,779,116850,0,0,116850,,
557,2,'DW1002','TRAIN DISHWASH 80/36','CRTN',100,502,50200,0,0,50200,,
557,3,'DT2022','TRAIN DETERGENT PLANT 160/24 10AD ','CRTN',100,935,93500,0,0,93500,,
557,4,'DT2023','TRAIN DETERGENT PLANT 320/12 10AD ','CRTN',50,916,45800,0,0,45800,,
557,5,'DW9022','BAHAR DISHWASH LIQUID 900/12','PCS',60,1900,114000,0,0,114000,,
558,1,'DT9026','JAGMAG DETERGENT 1000/12 18A.D','CRTN',10,3800,38000,0,0,38000,,
558,2,'DT9027','JAGMAG DETERGENT 500/24 18A.D','CRTN',20,3850,77000,0,0,77000,,
558,3,'DT9039','JAGMAG DETERGENT 100/48 18A.D','CRTN',35,1794,62790,0,0,62790,,
558,4,'DT9009','JAGMAG DETERGENT 210/36','CRTN',5,2650,13250,0,0,13250,,
558,5,'DTH004','HAPPY DETERGENT 85/60','CRTN',15,2460,36900,0,0,36900,,
558,6,'DTH003','HAPPY DETERGENT 500/24','CRTN',7,5500,38500,0,0,38500,,
558,7,'HLB002','HAPPY LAUNDRY BAR 225/24','CRTN',15,1220,18300,0,0,18300,,
558,8,'HLB001','HAPPY LAUNDRY BAR 190/48','CRTN',15,2400,36000,0,0,36000,,
558,9,'BTC010','BAHAR TOILET CLEANER 250/24','CRTN',3,2000,6000,0,0,6000,,
558,10,'DW1002','TRAIN DISHWASH 80/36','CRTN',50,528,26400,0,0,26400,,
558,11,'DW1015','TRAIN DISHWASH JUMBO 200/24','CRTN',20,820,16400,0,0,16400,,
558,12,'DW1025','TRAIN DISHWASH 280/24 GOLA','CRTN',15,820,12300,0,0,12300,,
558,13,'DT1062','LASHKARA DETERGENT 150/24 ','CRTN',5,0,0,0,0,0,,
558,14,'DT1048','LASHKARA DETERGENT 500/24','CRTN',5,2850,14250,0,0,14250,,
558,15,'DT1037','LASHKARA DETERGENT 1000/12','CRTN',2,2800,5600,0,0,5600,,
558,16,'HSALT03','HAPPY SALT 800/24','CRTN',3,0,0,0,0,0,,
559,1,'DT9026','JAGMAG DETERGENT 1000/12 18A.D','CRTN',30,3800,114000,5,5700,108300,,
559,2,'DT9027','JAGMAG DETERGENT 500/24 18A.D','CRTN',40,3850,154000,5,7700,146300,,
559,3,'DT9009','JAGMAG DETERGENT 210/36','CRTN',20,2650,53000,5,2650,50350,,
559,4,'DT9039','JAGMAG DETERGENT 100/48 18A.D','CRTN',60,1850,111000,5,5550,105450,,
559,5,'DTH002','HAPPY DETERGENT 1000/12 ','CRTN',5,5500,27500,5,1375,26125,,
559,6,'DTH003','HAPPY DETERGENT 500/24','CRTN',10,5500,55000,5,2750,52250,,
559,7,'DTH004','HAPPY DETERGENT 85/60','CRTN',10,2460,24600,5,1230,23370,,
559,8,'DT1048','LASHKARA DETERGENT 500/24','CRTN',4,2850,11400,5,570,10830,,
559,9,'DT1037','LASHKARA DETERGENT 1000/12','CRTN',3,2800,8400,5,420,7980,,
559,10,'DT1062','LASHKARA DETERGENT 150/24 ','CRTN',4,984,3936,5,196.8,3739.2,,
559,11,'BTC001','BAHAR TOILET CLEANER 500/12','CRTN',4,1650,6600,5,330,6270,,
559,12,'DW9001','HAPPY DISHWASH LIQUID 500ML/12 (LEMON)','CRTN',4,1650,6600,5,330,6270,,
559,13,'DW9022','BAHAR DISHWASH LIQUID 900/12','PCS',3,2000,6000,5,300,5700,,
559,14,'DW1002','TRAIN DISHWASH 80/36','CRTN',40,528,21120,5,1056,20064,,
559,15,'DW1006','TRAIN DISHWASH 120/24','CRTN',10,528,5280,5,264,5016,,
559,16,'DW1025','TRAIN DISHWASH 280/24 GOLA','CRTN',10,820,8200,5,410,7790,,
559,17,'DW1015','TRAIN DISHWASH JUMBO 200/24','CRTN',40,820,32800,5,1640,31160,,
559,18,'DW2006','RING DISHWASH 110/36','CRTN',40,431,17240,5,862,16378,,
559,19,'DW2012','RING DISHWASH 120/24 ','CRTN',30,287,8610,5,430.5,8179.5,,
559,20,'MO1005','MUSTARD OIL 170/24','CRTN',10,2550,25500,0,0,25500,,
559,21,'HSALT03','HAPPY SALT 800/24','CRTN',10,750,7500,5,375,7125,,
559,22,'MO1001','MUSTARD OIL 200ML/24','CRTN',5,2850,14250,0,0,14250,,
559,23,'MO1014','MUSTARD OIL 100/48','PCS',4,3250,13000,0,0,13000,,
559,24,'HLB001','HAPPY LAUNDRY BAR 190/48','CRTN',15,2400,36000,5,1800,34200,,
559,25,'HLB002','HAPPY LAUNDRY BAR 190/24','CRTN',20,1220,24400,5,1220,23180,,
560,1,'DT2029','TRAIN DETERGENT 10KG PLANT 7AD + 2TIKKI','BAG',50,1600,80000,5,4000,76000,,
560,2,'DT2013','TRAIN DETERGENT 5 KG 7A.D','BAG',320,850,272000,5,13600,258400,,
560,3,'DT2036','TRAIN DETERGENT 4KG 7A.D','BAG',320,690,220800,5,11040,209760,,
560,4,'DT2062','TRAIN DETERGENT 320/24 10 AD','BAG',40,1896,75840,5,3792,72048,,
560,5,'DT2022','TRAIN DETERGENT PLANT 160/24 10AD ','CRTN',20,984,19680,5,984,18696,,
560,6,'DT1060','LASHKARA DETERGENT 300/12','CRTN',20,964,19280,5,964,18316,,
560,7,'DT1062','LASHKARA DETERGENT 150/24 ','CRTN',20,0,0,5,0,0,,
560,8,'DT2020','TRAIN DETERGENT 1000/12 10AD','CRTN',5,2550,12750,5,637.5,12112.5,,
560,9,'DT2014','TRAIN DETERGENT 500/24  10A.D','CRTN',5,2600,13000,5,650,12350,,
560,10,'DW1002','TRAIN DISHWASH 80/36','CRTN',100,528,52800,5,2640,50160,,
560,11,'DW1015','TRAIN DISHWASH JUMBO 200/24','CRTN',50,820,41000,5,2050,38950,,
561,1,'SF0021','BASE POWDER 29AD','KG',7000,402,2814000,0,0,2814000,,
562,1,'DW1002','TRAIN DISHWASH 80/36','CRTN',150,528,79200,4,3168,76032,,
562,2,'DW2006','RING DISHWASH 110/36','CRTN',100,431,43100,4,1724,41376,,
562,3,'DW1015','TRAIN DISHWASH JUMBO 200/24','CRTN',70,820,57400,4,2296,55104,,
