id,code,name,product_type,warehouse_qty
77,BOP068,BOPP SIZE 230MM 25 MICRON,finished,0.0
78,BOP069,CPP NATURAL 650MM 25MICRON,finished,0.0
79,BOP070,BOPP SIZE 232MM 40MICRON,finished,0.0
80,BOP071,CPP MTZ 460MM 25MICRON,finished,0.0
81,BOP072,BOPP PEARL 820MM 38MICRON,finished,0.0
98,BOPP005,BOPP PEARL 760MM 30 MICRON,finished,0.0
99,BOPP006,BOPP PEARL 765MM 30MICRON,finished,0.0
100,BOPP007,BOPP PEARL 810MM 12MICRON,finished,0.0
101,BOPP008,BOPP MTZ 660MM 20MICRON,finished,0.0
102,BOPP009,BOPP H/S 720MM 30 MICRON,finished,0.0
103,BOPP010,BOPP MTZ 670MM 20MICRON,finished,0.0
104,BOPP011,BOPP MTZ 470MM 20MICRON,finished,0.0
108,BT0003,GREEN BOTTLE CAP 35-GRM,finished,0.0
109,BT0004,BRILLO BOTTLE 475ML,finished,0.0
110,BT0005,HAPPY BOTTLE 500ML,finished,0.0
111,BT0006,EMPTY BAHAR LIQUID BOTTLE 900ML,finished,0.0
112,BT0007,EMPTY OIL BOTTLE 100ML,finished,0.0
113,BT0008,EMPTY OIL BOTTLE 250ML,finished,0.0
114,BT0010,LIQUID EMPTY BOTTLE 5KG,finished,0.0
115,BT0011,LAUNDRY LIQUID BOTTLE 500GRAMS,finished,0.0
116,BT0012,DISHWASH LIQUID EMPTY BOTTLE 1 LTR,finished,0.0
117,BT0013,BAHAR TOILET CLEANER CAP 250/500ML,finished,0.0
118,BT006,EMPTY OIL BOTTLE 500ML,finished,0.0
119,BT007,EMPTY OIL BOTTLE 170ML,finished,0.0
120,BT008,EMPTY BOTTLE BACHAT TOILET CLEANER,finished,0.0
122,BT010,EMPTY BOTTLE +CAP  HAPPY TOILET CLEANER,finished,0.0
123,BT011,BACHAT EMPTY BOTTLE DISHWASH LQUD 500ML,finished,0.0
124,BT012,EMPTY OIL BOTTLE 1000 ML,finished,0.0
126,BT014,BOTTLE VINEGAR MARYAM FOOD,finished,0.0
127,BT015,HAPPY TOILET CLEANER BOTTLE 250 ML,finished,0.0
128,BT016,PLANE PLASTIC BOTTAL+CAP,finished,0.0
129,BT017,BLEACH EMPTY BOTTAL,finished,0.0
132,BT020,RED CAP EMPTY BOTTLE 5KG,finished,0.0
133,BT021,SEAL EMPTY BOTTLE 5KG,finished,0.0
136,BTC003,BRILLO TOILET CLEANER 500ML,finished,0.0
139,BTC006,ZORO TOILET CLEANER 500/12,finished,0.0
140,BTC007,TOILET CLEANER(SAADA) 500/12,finished,0.0
141,BTC008,ETMAAD TOILET CLEANER 500/12,finished,0.0
142,BTC009,ETMAAD TOILET CLEANER 250/24,finished,0.0
144,BTC011,ARGHAWAN TOILET CLEANER 500/12,finished,0.0
146,BTC013,BRILLO TOILET CLEANER 250ML,finished,0.0
148,CC0001,CC FRUITY ORANGE (50/72) 3.6KG,finished,0.0
149,CC0002,CC FRUITY LEMON(50/72) 3.6KG,finished,0.0
150,CC0003,CC FRUITY ORANGE 100/48,finished,0.0
151,CC0004,CC FRUITY PEACH 100/48,finished,0.0
152,CC0005,CC FRUITY LEMON 100/48,finished,0.0
153,CC0006,CC PITTA SADA 150/40 6KG,finished,0.0
154,CC0007,CC BEAUTY PINK SOAP 115/48,finished,0.0
155,CC0008,CC BEAUTY GREEN SOAP 115/48,finished,0.0
156,CC0009,CC BEAUTY WHITE 115/48,finished,0.0
157,CC0010,CC BROWN 2 TIKKI DEY 250/40,finished,0.0
158,CC0011,CC LAUNDRY BROWN 2 TIKKI PACK DIE (250/40),finished,0.0
159,CC0012,CC BEAUTY MILKY SOAP 30/144,finished,0.0
160,CC0013,CC BEAUTY PINK  SOAP 30/144,finished,0.0
161,CC0014,CC BEAUTY MOISTURIZER SOAP 115/48,finished,0.0
162,CC0015,CC BROWN CHAKOR DIE 2 TIKI 245/40,finished,0.0
163,CLY001,LASHKARA W/P RS.10,finished,0.0
165,CLY003,RING D/W RS.20,finished,0.0
166,CLY004,JAGMAG DETERGENT RS. 10,finished,0.0
167,CLY005,RING D/W GOLA (SMALL),finished,0.0
168,CLY006,JAGMAG DETERGENT 1KG,finished,0.0
169,CLY007,RING D/W RS.10,finished,0.0
171,CLY009,RING D/W GOLA (MEDIUM),finished,0.0
172,CLY010,RING D/W GOLA LARGE,finished,0.0
173,CLY011,JAGMAG DETERGENT 500 GRAMS,finished,0.0
174,CLY012,JAGMAG DETERGENT 5KG,finished,0.0
175,CLY013,LASHKARA W/P 500GRAMS,finished,0.0
176,CLY014,BAHAR D/W SMALL,finished,0.0
177,CLY015,BAHAR D/W LARGE,finished,0.0
178,CLY016,TRAIN W/P 1 KG,finished,0.0
180,CLY018,TRAIN D/W RS. 10,finished,0.0
182,CLY020,TRAIN D/W SMALL,finished,0.0
183,CLY021,TRAIN D/W LONG BAR,finished,0.0
184,CLY022,TRAIN W/P RS. 10,finished,0.0
185,CLY023,TRAIN W/P 5KG,finished,0.0
186,CLY024,PAKEEZA SALT 800GRAMS,finished,0.0
187,CLY025,KHISRO TEA 500 GRAMS,finished,0.0
188,CLY026,VANIZIA SOAP CYLINDERS (LEMON),finished,0.0
190,CLY028,SHINE X GLUE 41769,finished,0.0
191,CLY029,MONILITH GLUE EP 41770,finished,0.0
192,CLY030,SAGA DISHWASH BAR SMALL,finished,0.0
193,CLY031,SAGA DISHWASH BAR MEDIUM,finished,0.0
194,CLY032,SAGA DISHWASH LONG BAR,finished,0.0
195,CLY033,SAGA DETERGENT POWER RS 10,finished,0.0
196,CLY034,SAGA DETERGENT POWDER 500 GRM,finished,0.0
197,CLY035,SAGA DETERGENT POWDER 1KG,finished,0.0
198,CLY036,BAHAR DETERGENT 1KG,finished,0.0
199,CLY037,BAHAR DETERGENT 500 GRAM,finished,0.0
200,CLY038,BAHAR DETERGENT 5KG,finished,0.0
201,CLY039,BAHAR DETERGENT RS#10,finished,0.0
202,CLY040,RAHIL DETERGENT 3 KG,finished,0.0
203,CLY041,RAHIL DETERGENT 1 KG,finished,0.0
204,CLY042,STAR DETERGENT RS#10,finished,0.0
205,CLY043,STAR DETERGENT 500 GRAM,finished,0.0
206,CLY044,STAR DETERGENT 1KG,finished,0.0
207,CLY045,SHAHZAIN SOAP,finished,0.0
208,CLY046,FLAVO FOOD HERBS SPICES - EXTRA SMALL,finished,0.0
209,CLY047,VANIZIA SOAP CYLINDERS (ORANGE),finished,0.0
210,CLY048,HARMOHNY FRUTI SOAP (LEMON),finished,0.0
211,CLY049,PAIRACON FRUTI SOAP (ORANGE),finished,0.0
212,CLY050,BACHAT DETERGENT  1KG,finished,0.0
213,CLY051,STAR DISHWASH 250 GRAM,finished,0.0
214,CLY052,STAR DISHWASH 80 GRAM,finished,0.0
215,CLY053,STAR DISHWASH 150 GRAM,finished,0.0
216,CLY054,VANIZIA SOAP CYLINDERS 155MM (ORANGE),finished,0.0
217,CLY055,VANIZIA SOAP CYLINDERS 155MM (LEMON),finished,0.0
218,CLY056,PAIRACON FRUTI SOAP 155MM (LEMON),finished,0.0
219,CLY057,BACHAT DETERGENT 500GRAM,finished,0.0
220,CLY058,BACHAT DETERGENT 375GRAM,finished,0.0
221,CLY059,BACHAT DETERGENT WHITE,finished,0.0
222,CLY060,SEASONS CANOLA 1LTR,finished,0.0
223,CLY061,SHAHZAIN LAUNDRY SOAP LARGE 250*158,finished,0.0
224,CLY062,SHAHZAIN LAUNDRY SOAP SMALL,finished,0.0
225,CLY063,ZAIFA SALT,finished,0.0
227,CLY065,BRILLO D/W 150/48,finished,0.0
228,CLY066,NOOR WASHING POWDER RS 10,finished,0.0
229,CLY067,NOOR WASHING POWDER RS 50,finished,0.0
230,CLY068,BRILLO D/W 75/72,finished,0.0
231,CLY069,SKY BEAUTY SOAP,finished,0.0
232,CLY070,KINZAY BEAUTY SOAP,finished,0.0
233,CLY071,CYLINDER SHAHZAIN SOAP PINK,finished,0.0
234,CLY072,CYLINDER TOMATO SOAP(IMRAN),finished,0.0
235,CLY073,BOXER DETERGENT 50 RS,finished,0.0
236,CLY074,BOXER DETERGENT 10 RS,finished,0.0
237,CLY075,BOXER DETERGENT  1 KG,finished,0.0
238,CLY076,BOXER DISHWASH,finished,0.0
239,CLY077,BOXER BEAUTY SOAP (SL2012299),finished,0.0
240,CLY078,BOXER BEAUTY SOAP (SL2103229),finished,0.0
241,CLY079,BOXER BEAUTY SOAP (SL2102239),finished,0.0
242,CLY080,BACHAT DISHWASH RS.10 (SL1225748),finished,0.0
243,CLY081,BACHAT DETERGENT RS.10 (L211696 C),finished,0.0
244,CLY082,HUNI DETERGENT RS10,finished,0.0
245,CLY083,HUNI DETERGENT 1KG,finished,0.0
246,CLY084,KINZY BEATY SOAP PINK NEW,finished,0.0
247,CLY085,SKY BEATY SOAP PINK NEW,finished,0.0
248,CLY086,SKY BEATY SOAP BLACK NEW,finished,0.0
249,CLY087,FOJI COOKING OIL,finished,0.0
250,CLY088,BRILLO FRUITY SOAP LEMON (SMALL),finished,0.0
251,CLY089,BRILLO FRUTY SOAP LEMON (LARGE),finished,0.0
252,CLY090,BRILLO FRUITY SOAP ORANGE (LARGE),finished,0.0
253,CLY091,BRILLO LAUNDRY SOAP,finished,0.0
254,CLY092,BRILLO PREMIUM SOAP,finished,0.0
255,CLY093,MMC SALT,finished,0.0
256,CLY094,AL FIRDOUS SALT,finished,0.0
257,CLY095,MOMIN DETERGENT 5KG(870*520),finished,0.0
258,CLY096,MOMIN DETERGENT 3KG(700*480),finished,0.0
259,CLY097,MOMIN DETERGENT 1KG(600*680),finished,0.0
260,CLY098,KARARI JOB CYLINDER,finished,0.0
261,CLY099,FAUJI TEA CYLINDER,finished,0.0
263,CLY101,BESAN CYLINDER,finished,0.0
264,CLY102,SHAHZAIN 882 SOAP,finished,0.0
265,CLY103,CYLINDER SERVIS TUBE,finished,0.0
266,CLY104,CYLINDER NAVIA 5KG,finished,0.0
267,CLY105,SHAHZAIN 1ST CLASS CYLINDER,finished,0.0
268,CLY106,SHAHZAIN SUPREME CYLINDER,finished,0.0
269,CLY107,SAGA 4 KG CYLINDER,finished,0.0
270,CLY108,BOXER DETERGENT 500 GRAM CYLINDER,finished,0.0
271,CLY109,BACHAT DETERGENT 4KG CYLINDER,finished,0.0
272,CLY110,CYLINDER BRILLO DETERGENT RS.50,finished,0.0
273,CLY111,CYLINDER BOXER NEW JOB,finished,0.0
274,CLY112,LASHKARA DETERGENT 500GRAM (NEW),finished,0.0
275,CLY113,SUPER KARARI FOOD,finished,0.0
276,CLY114,FP FAIZAN COLLECTION (LARGE),finished,0.0
277,CLY115,FP FAIZAN COLLECTION (SMALL),finished,0.0
278,CLY116,PEARLI SOAP JOB 1,finished,0.0
279,CLY117,PEARLI SOAP JOB 2,finished,0.0
280,CLY118,BAHU SOAP JOB 1,finished,0.0
281,CLY119,BAHU SOAP JOB 2,finished,0.0
282,CLY120,BAHU SOAP JOB 3,finished,0.0
283,CLY121,SPECIAL QUALITY BAHU SOAP,finished,0.0
284,CLY122,NEELUM POWER PLUS,finished,0.0
285,CLY123,NEELUM SOAP,finished,0.0
287,CLY125,GN DETERGENT POWDER,finished,0.0
288,CLY126,CNG DISHWASH BAR 20RS,finished,0.0
289,CLY127,KACHUP SASHY,finished,0.0
290,CLY128,KACHUP 2KGS,finished,0.0
291,CLY129,CNG DISHWASH BAR 10RS,finished,0.0
293,CLY131,BROWN GOLD SOAP,finished,0.0
294,CLY132,TRAIN DETERGENT 1KG NEW SIZE,finished,0.0
295,CLY133,TRAIN DETERGENT 500 GRAM (NEW),finished,0.0
296,CLY134,CHEETA DISHWASH BAR,finished,0.0
297,CLY135,FAIZA POONIA,finished,0.0
298,CLY136,SUPER BASPATI RICE,finished,0.0
299,CLY137,KAINAT 1121 STEAM  RICE,finished,0.0
300,CLY138,TRAIN SOAP 175*127,finished,0.0
301,CLY139,VENIS SOAP 175*127,finished,0.0
302,CLY140,NAVIA 500 GRAM RS.50,finished,0.0
303,CLY141,VENUS SOAP SPECIAL QUALITY,finished,0.0
304,CLY142,VENUS SOAP DRAJA AWAL,finished,0.0
305,CLY143,VENUS SOAP ALA QUALITY,finished,0.0
306,CLY144,VENUS SOAP NEW,finished,0.0
307,CLY145,VENUS SOAP NEW ADVANCE FORMULA,finished,0.0
308,CLY146,K2  SPECIAL SOAP,finished,0.0
309,CLY147,SAGA DETERGENT 200GRAM,finished,0.0
310,CLY148,TRAIN DETERGENT 10KG (725*570*4*5.20),finished,0.0
311,CLY149,TRAIN DETERGENT 20KG(825*620*4*5.2),finished,0.0
312,CLY150,FRUIT LUNCH BOX SMALL,finished,0.0
313,CLY151,FRUIT LUNCH BOX BIG,finished,0.0
314,CLY152,BIG BUTTER,finished,0.0
315,CLY153,FOJI BANASPATI,finished,0.0
316,CLY154,FOJI SUPREME COOKING OIL,finished,0.0
317,CLY155,FAIR & CARE BEAUTY SOAP LARGE,finished,0.0
318,CLY156,FAIR & CARE BEAUTY SOAP SMALL,finished,0.0
319,CLY157,MEER SPECIAL SOAP,finished,0.0
320,CLY158,MEER BROWN SOAP,finished,0.0
321,CLY159,PHOOL COOKING OIL,finished,0.0
322,CLY160,GOLD GLEAM CREAM JOB 1,finished,0.0
323,CLY161,GOLD GLEAM CREAM JOB 2,finished,0.0
324,CLY162,GOLD LUNCH BOX,finished,0.0
325,CLY163,CHILLI TOMATO,finished,0.0
326,CLY164,MINGLES PATTI,finished,0.0
327,CLY165,CHEETA DISHWASH JUMBO BAR,finished,0.0
329,CLY167,ANMOL SOAP,finished,0.0
330,CLY168,MONSTA (465*950*4*5.5),finished,0.0
331,CLY169,MINI BUTTER (450*1000*5*5.5),finished,0.0
334,CLY172,CHEETA DETERGENT 1KGS,finished,0.0
335,CLY173,CHEETA DETERGENT RS.50,finished,0.0
336,CLY174,TRAIN SOAP 1KG,finished,0.0
337,CLY175,RAHIL DETERGENT 800GRAM,finished,0.0
338,CLY176,KAUSAR SPECIAL SOAP RP#45425,finished,0.0
339,CLY177,ISLAMABAD COOKING OIL 900ML EP#44947,finished,0.0
340,CLY178,SHAHZAIN SPECIAL SOAP,finished,0.0
342,CLY180,TOFEE (STRAWBRY+MANGO+ORANGE+APPLE),finished,0.0
343,CLY181,TOFEE MAGA BUTTER,finished,0.0
346,CLY184,JAGMAG DETERGENT 250 GRAM,finished,0.0
347,CLY185,MARYINA SOAP 4 PACK,finished,0.0
349,CLY187,FUN TIME,finished,0.0
351,CLY189,TRAIN LAUNDRY SOAP,finished,0.0
352,CLY190,SAFA DISHWASH BAR 800 GRAM EP#45844,finished,0.0
353,CLY191,SAFA DISHWASH BAR 1500 GRAM EP#45821,finished,0.0
354,CLY192,NISHAT TEA 5KG,finished,0.0
355,CLY193,MAHFILI CLASIC RICE 5KG EP#45494,finished,0.0
356,CLY194,VENUS BEAUTY SOAP (JASMINE),finished,0.0
357,CLY195,VENUS BEAUTY SOAP (FLOWER),finished,0.0
358,CLY196,MERCEDES BLADE,finished,0.0
359,CLY197,TRAIN DISHWASH GOLA 300GRAM,finished,0.0
360,CLY198,NISHAT TEA 50GRAM,finished,0.0
361,CLY199,NISHAT TEA 160GRAM,finished,0.0
363,CLY201,NISHAT TEA 900GRAM,finished,0.0
366,CLY204,DOUBLE CHEETA,finished,0.0
367,CLY205,SUPER BONE 12PCS BLUE,finished,0.0
368,CLY206,PAK ATLAS CEILING FAN BODY,finished,0.0
369,CLY207,MERCEDES FANS MOTOR BODY,finished,0.0
370,CLY208,MERCEDES FAN GALAXY MODEL,finished,0.0
371,CLY209,PAK ATLAS CEILING FAN BLADE,finished,0.0
372,CLY210,FRENCH CHOICE MAYO MAZA 2LTR,finished,0.0
373,CLY211,FRENCH CHOICE+CHILLI+MAYO MAZA,finished,0.0
374,CLY212,PAK ATLAS PEDISTAL FAN (STAND COVER),finished,0.0
375,CLY213,PAK ATLAS PEDISTAL FAN (MOTOR BODY COVER),finished,0.0
376,CLY214,GOLD STAR PEDISTAL FAN (MOTOR BODY COVER),finished,0.0
377,CLY215,VENUS BEAUTY SOAP SMALL (PINK),finished,0.0
378,CLY216,VENUS BEAUTY SOAP SMALL (WHITE),finished,0.0
379,CLY217,GOLDEN STAR PEDISTAL FAN (STAND),finished,0.0
380,CLY218,GOLDEN STAR CELLING FAN (BLADE),finished,0.0
381,CLY219,GOLDEN STAR CELLING FAN (BODY),finished,0.0
382,CLY220,VENUS BEAUTY SOAP LARGE (JASMINE),finished,0.0
383,CLY221,VENUS BEAUTY SOAP LARGE (FLOWER),finished,0.0
384,CLY222,TAZGI GOLD WHITE SOAP,finished,0.0
385,CLY223,BAHAR MUSTARD OIL (LARGE),finished,0.0
386,CLY224,BAHAR MUSTARD OIL (MEDIUM),finished,0.0
387,CLY225,BAHAR MUSTARD OIL (SMALL),finished,0.0
388,CLY226,AL FIRDOUS VERMICELLI PREMIUM QUALITY (MIDIUM),finished,0.0
389,CLY227,TAZGI GOLD PINK SOAP,finished,0.0
390,CLY228,TAZGI GOLD PURPLE SOAP,finished,0.0
392,CLY230,NAFEESA PLASTIC LUNCH BOX 2,finished,0.0
394,CLY232,GOLF STAR PEDISTAL MOTER BODY (SMALL),finished,0.0
395,CLY233,GOLF STAR PEDISTAL MOTER BODY (LARGE),finished,0.0
396,CLY234,LASHKARA SPECIAL QUALITY SOAP,finished,0.0
397,CLY235,LASHKARA SOAP,finished,0.0
402,CLY240,NISHAT TEA RED LABEL 450GRAM,finished,0.0
403,CLY241,SUPER BONE 12PCS BLACK,finished,0.0
404,CLY242,GOLF STAR STAND & ROAD,finished,0.0
406,CLY244,LARAIB LEMON FRUITY SOAP,finished,0.0
407,CLY245,LARAIB PEACH +ORANGE FRUITY SOAP,finished,0.0
408,CLY246,ARGHAWAN DETERGENT 1KG,finished,0.0
410,CLY248,RAHIL DETERGENT 500GRAM,finished,0.0
413,CLY251,PURE SALT (GREEN),finished,0.0
414,CLY252,NISHAT TEA (DIBBI) BOX BOARD,finished,0.0
415,CLY253,RAHIL CTN CLY,finished,0.0
416,CLY254,ARGHAWAN CTN CLY,finished,0.0
418,CLY256,SONEX GLUE,finished,0.0
419,CLY257,MARJINA SOAP 2,finished,0.0
420,CLY258,FINE BONE CHINA 12PCS CUP SAUCER,finished,0.0
422,CLY260,SHINE PLUS D/T 5KG EP#47096,finished,0.0
423,CLY261,VENUS ALOE VERA BEAUTY SOAP (SMALL),finished,0.0
424,CLY262,HAPPY DETERGENT 1KG,finished,0.0
425,CLY263,FINE BONE CHINA 12PCS CUP SAUCER 2,finished,0.0
426,CLY264,VENUS ALOE VERA BEAUTY SOAP (LARGE),finished,0.0
428,CLY266,SAFA DETERGENT 5KG,finished,0.0
429,CLY267,SAFA ITIHAD DETERGENT 3KG,finished,0.0
430,CLY268,SAFA ITIHAD DETERGENT 1KG,finished,0.0
432,CLY270,DALYA RICE BAG 5KG,finished,0.0
433,CLY271,ITTEHAD BRAND LUNCH BOX,finished,0.0
434,CLY272,SAFA ITTEHAD (3 JOB IN ONE SET),finished,0.0
435,CLY273,HAPPY DETERGENT BAR,finished,0.0
436,CLY274,SKY WASH 1KG,finished,0.0
439,CLY277,MOMIN DETERGENT 10KG,finished,0.0
440,CLY278,MOMIN DETERGENT 20KG,finished,0.0
441,CLY279,LABEX FRUIT SOAP (LEMON+ORANGE+PEACH),finished,0.0
443,CLY281,RIM LEMON DISHWASH RS.10,finished,0.0
444,CLY282,CHEETA SERVIS COVER EP#47663,finished,0.0
445,CLY283,TOMATO SOAP SUPREME QUALITY,finished,0.0
446,CLY284,TOMATO SOAP SPARKLING BRIGHT WASH,finished,0.0
448,CLY286,LARAIB FRUITY SOAP SMALL PEACH+LEMON+ORANGE,finished,0.0
449,CLY287,TRAIN SOAP BROWN EP#47685,finished,0.0
450,CLY288,CHEETA SERVIS BOX EP#47664,finished,0.0
451,CLY289,ANMOL SOAP JOB 2,finished,0.0
452,CLY290,P.D FINE BONE CHINA 12PCS CUP SAUCER,finished,0.0
453,CLY291,TOMATO SPECIAL NAROL SOAP 2PCS,finished,0.0
454,CLY292,BRILLO DETERGENT 3KG,finished,0.0
455,CLY293,SAFA DETEERGENT 20KG,finished,0.0
456,CLY294,SAFA DETEERGENT 10KG,finished,0.0
457,CLY295,ARGHAWAN DETERGENT 20KG,finished,0.0
458,CLY296,RASHID DETERGENT 20KG,finished,0.0
459,CLY297,AL FIRDOUS VERMICELLI PREMIUM QUALITY 300GRAM,finished,0.0
461,CLY299,GLOW PLASTIC STICKER,finished,0.0
464,CLY302,SAKOON WASHING POWDER,finished,0.0
465,CLY303,PUNJAB RICE,finished,0.0
466,CLY304,AL FIRDOUS VERMICELLI PREMIUM QUALITY (LARGE),finished,0.0
467,CLY305,VIGO LUXURY SOAP SMALL,finished,0.0
468,CLY306,VIGO LUXURY SOAP MEDIUM,finished,0.0
469,CLY307,BOSTAN DETERGENT 10KG,finished,0.0
470,CLY308,BOSTAN DETERGENT 20KG,finished,0.0
471,CLY309,PURE BEST DETERGENT RS.100,finished,0.0
472,CLY310,PURE BEST DETERGENT,finished,0.0
473,CLY311,AH CERAMICS 6CUP 6SAUCER 12PCS,finished,0.0
475,CLY313,JAGMAG DETERGENT 20KG,finished,0.0
479,CLY317,AZLAN DETERGENT 20KG,finished,0.0
481,CLY319,DELUXE TURKEY BEAUTY SOAP LEMON LIME,finished,0.0
482,CLY320,DELUXE TURKEY BEAUTY SOAP JASMINE,finished,0.0
483,CLY321,DELUXE TURKEY BEAUTY SOAP ALMOND TOUCH,finished,0.0
485,CLY323,DELUXE TURKEY BEAUTY SOAP OUTER,finished,0.0
486,CLY324,DELUXE TURKEY BEAUTY SOAP ALOEVERA TOUCH,finished,0.0
487,CLY325,DELUXE TURKEY BEAUTY SOAP SKY BLUE,finished,0.0
488,CLY326,DELUXE TURKEY BEAUTY SOAP ORANGE,finished,0.0
489,CLY327,AL FIRDOUS COLOURED PASTA,finished,0.0
490,CLY328,CLEAN DAY PREMIUM DETERGENT 1KG,finished,0.0
491,CLY329,SAGA DETERGENT ULTRA CLEAN 1KG,finished,0.0
492,CLY330,SAGA DETERGENT ULTRA CLEAN RS.50,finished,0.0
493,CLY331,SAGA DETERGENT ULTRA CLEAN RS.100,finished,0.0
494,CLY332,PARAS SURF WASHING POWDER 500GM,finished,0.0
495,CLY333,PARAS SURF WASHING POWDER RS 50,finished,0.0
496,CLY334,CLEAN DAY PREMIUM DETERGENT RS.50,finished,0.0
497,CLY335,CLEAN DAY PREMIUM DETERGENT 500GRAM,finished,0.0
498,CLY336,LEMON FOR OIL REMOVAL D/W 800ML,finished,0.0
499,CLY337,LEMON FOR OIL REMOVAL D/W LIQUID 1.5L,finished,0.0
500,CLY338,SAFA ITTIHAD DISHWASH LIQUID 800GRAM,finished,0.0
501,CLY339,SAFA ITTIHAD DISHWASH LIQUID 1.5KG,finished,0.0
502,CLY340,HAPPY DETERGENT POWDER 500GRAM,finished,0.0
503,CLY341,NIKOR COOPA LOVE,finished,0.0
504,CLY342,RING SOAP SPECIAL QUALITY,finished,0.0
505,CLY343,ADVANCE AGROTECH FATE 1000GM,finished,0.0
506,CLY344,HAPPY REFINED IODIZED SALT 1KG,finished,0.0
507,CLY345,NEW SILK MIDNIGHT ORCHID MILK SOAP 100GM,finished,0.0
508,CLY346,NEW SILK SEA MINERALS MILK SOAP 100GM,finished,0.0
509,CLY347,NEW SILK PEARL GLOW MILK SOAP 100GM,finished,0.0
510,CLY348,NEW SILK SHEA BUTTER MILK SOAP 100GM,finished,0.0
511,CLY349,NEW SILK ROSE MILK SOAP 100GM,finished,0.0
512,CLY350,NEW SILK NATURAL OLIVE MILK SOAP 100GM,finished,0.0
513,CLY351,SUPER ENERGY BISCUIT GOOD TIME RS#5,finished,0.0
