type,code,name,opening,current,active
Customer,100247,UNITED SUPER STORE PARIANWALI,0.0,0.0,True
Customer,100248,CH BROTHERS FAISLABAD,0.0,0.0,True
Customer,100249,A.R TRADERS FAISALABAD,0.0,0.0,True
Customer,100250,AHMED TRADERS PEER MEHAL,0.0,0.0,True
Customer,100252,RAFAQAT TRADERS AWAN SHARIF,0.0,0.0,True
Customer,100253,GHUMMAN TRADERS DHULLANALA,0.0,0.0,True
Customer,100254,MALIK TAYYAB RAILWAY ROAD,0.0,0.0,True
Customer,100255,WAHEED AZAM KERYANA STORE,0.0,0.0,True
Customer,100257,TAHIR & WAQAR KERYANA KARIYANWALA,0.0,0.0,True
Customer,100258,HAFIZ KERYANA KARIYANWALA,0.0,0.0,True
Customer,100259,AL MUSLIM TRADERS KARIYANWALA,0.0,0.0,True
Customer,100260,MOHAMMAD NAWAZ TRADERS KARIYANWALA,0.0,0.0,True
Customer,100261,TAWAKAL TRADERS KARIYANWALA,0.0,0.0,True
Customer,100262,ALI GENERAL STORE LALAMUSA,0.0,0.0,True
Customer,100263,FAISAL KIYANI (FACTORY OPERATOR),0.0,0.0,True
Customer,100265,KAMRAN KERYANA CHAK PINDI,0.0,0.0,True
Customer,100266,ARSLAN TRADERS DHULLANWALA,0.0,0.0,True
Customer,100267,GHOUSIA TRADERS DHULLANWALA,0.0,0.0,True
Customer,100268,GONDAL KERYANA DHULLANWALA,0.0,0.0,True
Customer,100269,SAWAN KERYANA DHULLANWALA,0.0,0.0,True
Customer,100271,SULIMAN TRADERS KERYANWALA,0.0,0.0,True
Customer,100272,HAFIZ SHAHZAD KERYANA KERYANWALA,0.0,0.0,True
Customer,100273,SHAHID ICHRIAN,0.0,0.0,True
Customer,100274,CHOUDHARY KERYANA CHAICHIYAN,0.0,0.0,True
Customer,100275,UZAIR GENERAL STORE CHAICHIYAN,0.0,0.0,True
Customer,100277,IKHLAQ SB,0.0,0.0,True
Customer,100278,MANZOOR TRADERS BAHAWALPUR,0.0,0.0,True
Customer,100279,IFTEKHAR KERYANA LODHRAN,0.0,0.0,True
Customer,100280,ALI ASHRAF,0.0,0.0,True
Customer,100282,LASANI TRADERS KUNJAH,0.0,0.0,True
Customer,100283,ZAFAR BROTHERS FATEHPUR,0.0,0.0,True
Customer,100284,ZAINAB GENERAL STORE,0.0,0.0,True
Customer,100285,ATIF BHAI,0.0,0.0,True
Customer,100286,MUDASSAR BUTT JPJ,0.0,0.0,True
Customer,100287,AL MADINA SUPER STORE CHAICHIYAN,0.0,0.0,True
Customer,100288,SHALIMAR KERYANA DINGA,0.0,0.0,True
Customer,100289,MOHAMMAD SHAFIQ KERYANA DHULANWALA,0.0,0.0,True
Customer,100290,JAMNA TRADERS GUJRAT,0.0,0.0,True
Customer,100291,RANA SWEET GUJRAT,0.0,0.0,True
Customer,100292,REHMANI KERYANA GUJRAT,0.0,0.0,True
Customer,100293,MALIK KERYANA BHAKRANWALI,0.0,0.0,True
Customer,100294,MASHALLAH KERYANA FATEHPUR,0.0,0.0,True
Customer,100295,KHALIL KHIZAR GENERAL STORE FATEHPUR,0.0,0.0,True
Customer,100296,HASHIM KERYANA FATEHPUR,0.0,0.0,True
Customer,100297,KHALID SUPER STORE FATEHPUR,0.0,0.0,True
Customer,100298,HAMMAD IRFAN MAISUM,0.0,0.0,True
Customer,100299,MADNI KERYANA BHAKRANWALI,0.0,0.0,True
Customer,100300,G. MART PARIYANWALI,0.0,0.0,True
Customer,100301,SHAFE GENERAL STORE,0.0,0.0,True
Customer,100302,LAL KHAN KERYANA,0.0,0.0,True
Customer,100303,KOHINOOR KERYANA STORE,0.0,0.0,True
Customer,100304,YOUNAS KERYANA STORE,0.0,0.0,True
Customer,100306,MEHALMI TRADERS SAMUNDRI,0.0,0.0,True
Customer,100307,ABU TALHA TRADERS TANDLA,0.0,0.0,True
Customer,100309,OSAMA TRADERS DINGA,0.0,0.0,True
Customer,100310,REHMAT KERYANA DINGA,0.0,0.0,True
Customer,100311,AMN MARKETING NETWORK,0.0,0.0,True
Customer,100313,NISAR AHMED,0.0,0.0,True
Customer,100315,OLYMPIA CHEMICALS,0.0,0.0,True
Customer,100316,RIZWAN SHEIKH,0.0,0.0,True
Customer,100318,WAQAR ALI,0.0,0.0,True
Customer,100319,AL-SAEED TRADERS,0.0,0.0,True
Customer,100320,DIDDIQUE,0.0,0.0,True
Customer,100321,AZHAR CORPORATION (PVT) LTD,0.0,0.0,True
Customer,100323,AFZAL KARYANA DINGA,0.0,0.0,True
Customer,100324,FAYYAZ TRADERS,0.0,0.0,True
Customer,100325,SHAHID MULTAN,0.0,0.0,True
Customer,100326,CHOUDHARY KARYANA STORE,0.0,0.0,True
Customer,100327,HAJI NAFEES KARYANA,0.0,0.0,True
Customer,100328,BETA GOL SOAP PACKAGES,0.0,0.0,True
Customer,100329,MALIK WAQAS,0.0,0.0,True
Customer,100330,TUQEER TRADERS,0.0,0.0,True
Customer,100331,SHAFIQUE SB,0.0,0.0,True
Customer,100332,SADAT KARYANA FATHEPUR ROAD,0.0,0.0,True
Customer,100333,ARIF TRADERS KOTLA,0.0,0.0,True
Customer,100334,AL-NADIR GENRAL STORE MASUM,0.0,0.0,True
Customer,100335,SHARJEEL TRADERS BHAKHRANWALI,0.0,0.0,True
Customer,100337,ILYAS & JAVEED KARYANA,0.0,0.0,True
Customer,100339,YOUNAS SWEET,0.0,0.0,True
Customer,100340,HUSSAIN KARYANA DHULLANWALI,0.0,0.0,True
Customer,100341,SHEIKH AFZAL DOLAT NAGGAR,0.0,0.0,True
Customer,100342,BILAL TRADERS,0.0,0.0,True
Customer,100343,ARSHAD BUTT,0.0,0.0,True
Customer,100344,MANUCHAR PAKISTAN,0.0,0.0,True
Customer,100345,AL MAKKAH TRADERS,0.0,0.0,True
Customer,100346,MALIK GULRIAZ,0.0,0.0,True
Customer,100347,G.M.TRADER,0.0,0.0,True
Customer,100348,HASSAN SUPER STORE,0.0,0.0,True
Customer,100349,AL-SAEED KARYANA,0.0,0.0,True
Customer,100350,AL MADINA G.S BHADDHAR,0.0,0.0,True
Customer,100351,AL NOOR KERYANA DOLATNAGAR,0.0,0.0,True
Customer,100353,SHAFIULLAH DARGAI,0.0,0.0,True
Customer,100354,RAFI TRADERS KAMOKI,0.0,0.0,True
Customer,100355,SHEIKH NISAR FAISALABAD,0.0,0.0,True
Customer,100356,BASHIR TRADERS DHULLANWALA,0.0,0.0,True
Customer,100357,AL MADINA TRADERS FATEHPUR,0.0,0.0,True
Customer,100358,AL KARAM GENERAL STORE SABOR,0.0,0.0,True
Customer,100359,AL MADINA TRADERS DOLATNAGAR,0.0,0.0,True
Customer,100360,MALIK TRADERS MANUCHAK,0.0,0.0,True
Customer,100361,CH MUDASSAR WARRIACH JPJ,0.0,0.0,True
Customer,100362,MALIK TRADERS LALAMUSA,0.0,0.0,True
Customer,100363,REHMAT KERYANA MANUCHAK,0.0,0.0,True
Customer,100365,OUT OF CASH,0.0,0.0,True
Customer,100366,REHANIYA TRADERS TANDA,0.0,0.0,True
Customer,100368,AKHTAR JEHLUM,0.0,0.0,True
Customer,100369,AHMED TRADER BHIMBER ROAD,0.0,0.0,True
Customer,100370,CHOUDHARY KERYANA BHIMBER ROAD,0.0,0.0,True
Customer,100371,ADNAN TRADERS DOLAT NAGAR,0.0,0.0,True
Customer,100372,SIALKOTI TRADERS DOLAT NAGAR,0.0,0.0,True
