10033,2020-01-27 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,88990,'1','1','Admin',2020-01-28 12:01:44.796000,,,33,'DINGA','01','400001','PURCHASE A/C'
10034,2020-01-28 00:00,'200013','V','AMMAR GRINDING MILLS','PLOT # 75A, PHASE 3, HATTAR INDUSTRIAL ESTATE, HARIPUR','HARIPUR',0,96880,'1','1','Admin',2020-02-01 14:37:50.300000,,,34,'HARIPUR','01','400001','PURCHASE A/C'
10035,2020-02-01 00:00,'200015','V','CH SEHNA ','LALAMUSA','LALAMUSA',0,531800,'1','1','Admin',2020-02-01 15:08:57.500000,,,35,'LALAMUSA','01','400001','PURCHASE A/C'
10036,2020-02-01 00:00,'200013','V','AMMAR GRINDING MILLS','PLOT # 75A, PHASE 3, HATTAR INDUSTRIAL ESTATE, HARIPUR','HARIPUR',0,80000,'1','1','Admin',2020-02-01 15:57:33.828000,,,36,'HARIPUR','01','400001','PURCHASE A/C'
10037,2020-01-20 00:00,'200017','V','MUZAFAR ','KARACHI','KARACHI',0,570000,'1','1','HAMMAD',2020-02-01 15:59:18.988000,,'150 bags of CMC',37,'KARACHI','01','400001','PURCHASE A/C'
10038,2020-02-01 00:00,'200016','V','FAMILY FOODS INDUSTRIES ','G.T. ROAD GUJRANWALA','GUJRANWALA',0,96000,'1','1','Admin',2020-02-01 16:04:52.308000,,,38,'GUJRANWALA','01','400001','PURCHASE A/C'
10039,2020-01-06 00:00,'200023','V','NEW MADINA COLOR COMPANY','C-53 O/S AKBARI GATE CIRCULAR ROAD LAHORE','LAHORE',0,190000,'1','1','Admin',2020-02-01 17:51:37.252000,,,39,'LAHORE','01','400001','PURCHASE A/C'
10040,2020-01-29 00:00,'200023','V','NEW MADINA COLOR COMPANY','C-53 O/S AKBARI GATE CIRCULAR ROAD LAHORE','LAHORE',0,270000,'1','1','Admin',2020-02-01 17:52:15.516000,,,40,'LAHORE','01','400001','PURCHASE A/C'
10041,2020-02-02 00:00,'200010','V','OLYMPIA CHEMICALS LIMITED ','QAIDABAD','QAIDABAD',0,1063600,'1','1','HAMMAD',2020-02-02 15:15:02.674000,,,41,'QAIDABAD','01','400001','PURCHASE A/C'
10042,2020-02-01 00:00,'200015','V','CH SEHNA ','LALAMUSA','LALAMUSA',0,10200,'1','1','Admin',2020-02-02 15:24:21.562000,,,42,'LALAMUSA','01','400001','PURCHASE A/C'
10043,2020-02-01 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,36000,'1','1','Admin',2020-02-02 15:48:46.098000,,,43,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
10044,2020-01-31 00:00,'200033','V','AL HADI CHEMICALS',,,0,300000,'1','1','Admin',2020-02-03 15:57:28.211000,,'INV # 4434',44,,'01','400001','PURCHASE A/C'
10045,2020-02-03 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,5000,'1','1','Admin',2020-02-04 09:23:25.427000,,,45,'DINGA','01','400001','PURCHASE A/C'
10046,2020-02-05 00:00,'200013','V','AMMAR GRINDING MILLS','PLOT # 75A, PHASE 3, HATTAR INDUSTRIAL ESTATE, HARIPUR','HARIPUR',0,108000,'1','1','Admin',2020-02-05 16:02:09.920000,,,46,'HARIPUR','01','400001','PURCHASE A/C'
10047,2020-02-05 00:00,'200015','V','CH SEHNA ','LALAMUSA','LALAMUSA',0,531800,'1','1','Admin',2020-02-05 16:04:53.553000,,,47,'LALAMUSA','01','400001','PURCHASE A/C'
10048,2020-02-05 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,71400,'1','1','Admin',2020-02-05 16:16:00.249000,,,48,'DINGA','01','400001','PURCHASE A/C'
10049,2020-02-05 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,18000,'1','1','Admin',2020-02-05 17:18:44.361000,,,49,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
10050,2020-02-06 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,18000,'1','1','Admin',2020-02-09 16:38:36.047000,,,50,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
10051,2020-02-08 00:00,'200009','V','ITTEHAD CHEMICALS LIMITED','39-EMPRESS ROAD LAHORE ','LAHORE',0,6657948,'1','1','Admin',2020-02-09 16:40:59.447000,,'CHALLAN 8000120231',51,'LAHORE','01','400001','PURCHASE A/C'
10052,2020-02-08 00:00,'200013','V','AMMAR GRINDING MILLS','PLOT # 75A, PHASE 3, HATTAR INDUSTRIAL ESTATE, HARIPUR','HARIPUR',0,89910,'1','1','Admin',2020-02-09 16:55:36.311000,,,52,'HARIPUR','01','400001','PURCHASE A/C'
10053,2020-01-04 00:00,'200017','V','MUZAFAR ','KARACHI','KARACHI',0,47500,'1','1','Admin',2020-02-09 17:33:00.520000,,'stock rcvd in December',53,'KARACHI','01','400001','PURCHASE A/C'
10054,2020-02-08 00:00,'200015','V','CH SEHNA ','LALAMUSA','LALAMUSA',0,51000,'1','1','Admin',2020-02-09 18:59:27.615000,,,54,'LALAMUSA','01','400001','PURCHASE A/C'
